iter	Passed	Remaining
0	909	181051
1	1601	158545
2	2243	147299
3	3175	155587
4	6118	238603
5	6912	223515
6	7798	215016
7	8661	207864
8	9571	203126
9	10186	193547
10	11092	190587
11	11941	187082
12	12870	185132
13	13851	184028
14	14623	180354
15	15509	178355
16	16312	175597
17	17223	174149
18	17954	171037
19	18645	167807
20	19463	165905
21	20299	164244
22	21105	162423
23	21917	160726
24	22872	160107
25	23677	158458
26	24548	157292
27	25257	155150
28	26012	153385
29	26902	152449
30	27682	150915
31	28468	149460
32	29227	147910
33	29953	146245
34	30713	144793
35	31555	143753
36	32333	142440
37	33089	141066
38	33906	139971
39	34864	139456
40	35865	139088
41	36729	138172
42	37535	137047
43	38332	135906
44	39212	135066
45	39931	133683
46	40667	132386
47	41594	131716
48	42448	130811
49	43425	130277
50	44274	129351
51	45097	128355
52	46030	127669
53	46817	126581
54	47591	125468
55	48447	124579
56	49238	123527
57	50105	122671
58	50881	121597
59	51684	120596
60	52581	119816
61	53402	118863
62	54235	117939
63	54969	116809
64	55777	115845
65	56556	114825
66	57463	114069
67	58253	113080
68	59150	112299
69	59967	111368
70	60804	110475
71	61569	109456
72	62296	108379
73	63260	107714
74	63999	106665
75	64818	105755
76	65580	104758
77	66450	103934
78	67289	103063
79	68152	102228
80	69053	101449
81	69917	100612
82	70916	99966
83	71741	99072
84	72691	98346
85	73576	97532
86	74408	96645
87	75325	95868
88	76118	94934
89	76966	94070
90	77848	93247
91	78707	92395
92	79646	91636
93	80536	90818
94	81403	89971
95	82372	89236
96	83300	88452
97	84226	87664
98	85083	86802
99	86076	86076
100	87059	85335
101	87951	84502
102	88764	83593
103	89780	82874
104	90625	81994
105	91549	81185
106	92424	80331
107	93241	79428
108	94263	78697
109	95068	77783
110	95968	76947
111	96894	76131
112	97819	75312
113	98797	74531
114	99804	73768
115	100730	72942
116	101588	72067
117	102471	71209
118	103482	70437
119	104452	69634
120	105359	68788
121	106237	67922
122	106995	66981
123	107883	66121
124	108902	65341
125	109871	64527
126	110987	63795
127	111883	62934
128	112731	62045
129	113607	61173
130	114457	60286
131	115306	59400
132	116154	58513
133	117138	57695
134	118076	56851
135	118899	55952
136	119836	55107
137	120708	54231
138	121607	53367
139	122420	52465
140	123374	51624
141	124421	50819
142	125318	49952
143	126329	49128
144	127212	48252
145	128107	47382
146	128956	46494
147	129852	45623
148	130664	44724
149	131567	43855
150	132341	42945
151	133311	42098
152	134158	41212
153	135050	40339
154	136019	39489
155	136864	38602
156	137782	37736
157	138770	36888
158	139657	36012
159	140553	35138
160	141475	34270
161	142337	33387
162	143184	32501
163	143978	31604
164	144813	30718
165	145650	29832
166	146444	28938
167	147349	28066
168	148169	27178
169	149079	26308
170	149995	25437
171	150870	24560
172	151764	23685
173	152691	22815
174	153596	21942
175	154542	21073
176	155556	20213
177	156462	19338
178	157505	18478
179	158405	17600
180	159315	16723
181	160184	15842
182	161196	14974
183	162106	14096
184	163192	13231
185	164123	12353
186	165065	11475
187	166050	10598
188	166953	9716
189	167795	8831
190	168633	7946
191	169540	7064
192	170252	6174
193	171008	5288
194	171815	4405
195	172624	3522
196	173502	2642
197	174318	1760
198	175114	879
199	175950	0
